Items in order,lemmatized_text
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone smoky bbq grilled chicken x bone peri peri grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Fried Chicken Angara Tender",x bone angara grilled chicken x fried chicken angara tender
1 x Fried Chicken Angara Tender,x fried chicken angara tender
"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken",x animal fry x bone jamaican grilled chicken
4 x Grilled Chicken Jamaican Boneless Breast,x grilled chicken jamaican boneless breast
"1 x Animal Fries, 1 x Grilled Chicken Jamaican Tender",x animal fry x grilled chicken jamaican tender
1 x Animal Fries,x animal fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken, 1 x Grilled Chicken Peri Peri Tender",x bone jamaican grilled chicken x bone kabuli grilled chicken x grilled chicken peri peri tender
"1 x Salted Fries, 2 x Mayonnaise, 1 x Grilled Chicken Smoky BBQ Tangdi, 1 x Bone in Smoky Bbq Grilled Chicken",x salted fry x mayonnaise x grilled chicken smoky bbq tangdi x bone smoky bbq grilled chicken
"2 x Grilled Chicken Jamaican Tender, 1 x Herbed Potato",x grilled chicken jamaican tender x herbed potato
"1 x Fried Chicken Beast AAC Burger, 1 x Fried Chicken Peri Peri Tender",x fried chicken beast aac burger x fried chicken peri peri tender
1 x Animal Fries,x animal fry
"1 x Fried Chicken Classic Tender, 2 x Peri Peri Sauce, 2 x Smoky BBQ Sauce, 1 x Fried Chicken Ghostbuster Tender, 2 x Fried Chicken Peri Peri Tender",x fried chicken classic tender x peri peri sauce x smoky bbq sauce x fried chicken ghostbuster tender x fried chicken peri peri tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"2 x Grilled Chicken Smoky BBQ Tangdi, 2 x Fried Chicken Peri Peri Tender",x grilled chicken smoky bbq tangdi x fried chicken peri peri tender
1 x Animal Fries,x animal fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Peri Peri Tender, 1 x Jamaican Sauce",x bone jamaican grilled chicken x fried chicken peri peri tender x jamaican sauce
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken smoky bbq tender x grilled chicken jamaican tender
"1 x Herbed Potato, 1 x Bone in Jamaican Grilled Chicken",x herbed potato x bone jamaican grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Bone in Peri Peri Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tangdi, 1 x Bone in Jamaican Grilled Chicken",x fried chicken peri peri tender x bone peri peri grilled chicken x grilled chicken smoky bbq tangdi x bone jamaican grilled chicken
"1 x Peri Peri Fries, 1 x Fried Chicken Angara Tender",x peri peri fry x fried chicken angara tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Animal Fries, 1 x Bone in Smoky Bbq Grilled Chicken",x animal fry x bone smoky bbq grilled chicken
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
1 x Grilled Chicken Smoky Bbq Boneless Breast,x grilled chicken smoky bbq boneless breast
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Animal Fries,x animal fry
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Grilled Chicken Angara Tender, 1 x AAC Grilled Chicken Burger",x grilled chicken angara tender x aac grilled chicken burger
"1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice, 1 x Herbed Potato",x bone jamaican grilled chicken quarter angara rice x herbed potato
1 x Grilled Chicken Smoky BBQ Tangdi,x grilled chicken smoky bbq tangdi
1 x Grilled Chicken Peri Peri Boneless Breast,x grilled chicken peri peri boneless breast
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Smoky Bbq Boneless Breast, 1 x Grilled Chicken Jamaican Boneless Breast",x fried chicken angara tender x grilled chicken smoky bbq boneless breast x grilled chicken jamaican boneless breast
"1 x Fried Chicken Angara Tender, 1 x Fried Chicken Peri Peri Tender",x fried chicken angara tender x fried chicken peri peri tender
"1 x Animal Fries, 1 x Fried Chicken Peri Peri Tender",x animal fry x fried chicken peri peri tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone smoky bbq grilled chicken x bone kabuli grilled chicken
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Angara Grilled Paneer (8 pcs), 1 x Grilled Chicken Peri Peri Tender",x angara grilled paneer pc x grilled chicken peri peri tender
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tender",x grilled chicken jamaican tender x grilled chicken peri peri tender
1 x Grilled Chicken Jamaican Boneless Breast,x grilled chicken jamaican boneless breast
"2 x Peri Peri Fries, 2 x Grilled Chicken Angara Tender, 2 x Garlic Aioli",x peri peri fry x grilled chicken angara tender x garlic aioli
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Salted Fries",x fried chicken angara tender x salted fry
"1 x AAC Signature Fries, 1 x Grilled Chicken Jamaican Tender",x aac signature fry x grilled chicken jamaican tender
"1 x Peri Peri Fries, 1 x Bone in Smoky Bbq Grilled Chicken",x peri peri fry x bone smoky bbq grilled chicken
"1 x Grilled Chicken Ghostbuster Tangdi, 1 x Grilled Chicken Peri Peri Tender, 1 x AAC Signature Crisper Fries, 1 x Grilled Chicken Angara Boneless Breast",x grilled chicken ghostbuster tangdi x grilled chicken peri peri tender x aac signature crisper fry x grilled chicken angara boneless breast
"1 x Bone in Jamaican Grilled Chicken, 1 x Animal Fries",x bone jamaican grilled chicken x animal fry
"1 x Grilled Chicken Jamaican Tender, 1 x Bone in Smoky Bbq Grilled Chicken, 1 x Indian Salsa",x grilled chicken jamaican tender x bone smoky bbq grilled chicken x indian salsa
1 x Animal Fries,x animal fry
"1 x Grilled Chicken Smoky Bbq Boneless Breast, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken smoky bbq boneless breast x bone jamaican grilled chicken
1 x Fried Chicken Beast AAC Burger,x fried chicken beast aac burger
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone kabuli grilled chicken x bone jamaican grilled chicken x bone peri peri grilled chicken x bone angara grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x bone jamaican grilled chicken
"1 x Grilled Chicken Peri Peri Tender, 1 x Animal Fries",x grilled chicken peri peri tender x animal fry
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone smoky bbq grilled chicken x bone kabuli grilled chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone angara grilled chicken x bone kabuli grilled chicken
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone kabuli grilled chicken x bone jamaican grilled chicken
"1 x AAC Fried Paneer Burger, 1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Angara Tender, 1 x AAC Grilled Paneer Burger, 1 x AAC Grilled Chicken Burger, 1 x Fried Chicken Beast AAC Burger",x aac fried paneer burger x fried chicken peri peri tender x fried chicken angara tender x aac grilled paneer burger x aac grilled chicken burger x fried chicken beast aac burger
"2 x Tipsy Tiger Fresh Lime Soda, 1 x Animal Fries, 1 x Peri Peri Crisper Fries",x tipsy tiger fresh lime soda x animal fry x peri peri crisper fry
"1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken peri peri tender x grilled chicken smoky bbq tender x grilled chicken angara tender x grilled chicken jamaican tender
"1 x Peri Peri Fries, 1 x Fried Chicken Classic Tender",x peri peri fry x fried chicken classic tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Peri Peri Tender",x fried chicken peri peri tender x grilled chicken peri peri tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
1 x AAC Signature Crisper Fries,x aac signature crisper fry
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tender",x bone kabuli grilled chicken x grilled chicken smoky bbq tender
"2 x Bone in Smoky Bbq Grilled Chicken, 1 x Herbed Potato",x bone smoky bbq grilled chicken x herbed potato
"1 x Grilled Chicken Angara Tenders + Salted Fries, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries",x grilled chicken angara tender salted fry x fried chicken peri peri tender peri peri fry
"1 x Grilled Chicken Jamaican Tender, 1 x Bone in Kabuli Grilled Chicken",x grilled chicken jamaican tender x bone kabuli grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Fried Chicken Angara Tender",x bone peri peri grilled chicken x fried chicken angara tender
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Fried Chicken Classic Tenders + AAC Signature Fries, 1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice, 1 x Grilled Chicken Angara Tenders + Salted Fries, 1 x Grilled Chicken Tangdi Jamaican + Salted Krispers",x fried chicken classic tender aac signature fry x bone jamaican grilled chicken quarter angara rice x grilled chicken angara tender salted fry x grilled chicken tangdi jamaican salted krispers
"1 x Bone in Angara Grilled Chicken, 1 x Fried Chicken Ghostbuster Tender",x bone angara grilled chicken x fried chicken ghostbuster tender
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grilled chicken x bone angara grilled chicken
"1 x Fried Chicken Classic Tender, 1 x Fried Chicken Beast AAC Burger",x fried chicken classic tender x fried chicken beast aac burger
"1 x Grilled Chicken Peri Peri Tender, 1 x Grilled Chicken Smoky BBQ Tender",x grilled chicken peri peri tender x grilled chicken smoky bbq tender
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone angara grilled chicken x bone peri peri grilled chicken
"1 x Bone in Kabuli Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone kabuli grilled chicken x bone smoky bbq grilled chicken
1 x Grilled Chicken Peri Peri Tender,x grilled chicken peri peri tender
1 x Animal Fries,x animal fry
1 x Animal Fries,x animal fry
1 x Grilled Chicken Jamaican Tangdi,x grilled chicken jamaican tangdi
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
"1 x Grilled Chicken Jamaican Tender, 1 x Salted Crisper Fries",x grilled chicken jamaican tender x salted crisper fry
"1 x Salted Crisper Fries, 1 x Tipsy Tiger Fresh Lime Soda",x salted crisper fry x tipsy tiger fresh lime soda
1 x Grilled Chicken Smoky Bbq Boneless Breast,x grilled chicken smoky bbq boneless breast
"1 x Bone in Jamaican Grilled Chicken, 1 x Peri Peri Crisper Fries",x bone jamaican grilled chicken x peri peri crisper fry
"1 x Angara Grilled Paneer (8 pcs), 1 x Peri Peri Crisper Fries, 1 x Grilled Chicken Jamaican Tangdi, 1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Classic Tender",x angara grilled paneer pc x peri peri crisper fry x grilled chicken jamaican tangdi x fried chicken peri peri tender x fried chicken classic tender
1 x Fried Chicken Classic Tender,x fried chicken classic tender
"1 x Honey Mustard sauce, 1 x AAC Grilled Chicken Burger, 1 x Grilled Chicken Smoky BBQ Tangdi",x honey mustard sauce x aac grilled chicken burger x grilled chicken smoky bbq tangdi
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken, 1 x Animal Fries, 1 x AAC Grilled Chicken Burger",x bone peri peri grilled chicken x bone smoky bbq grilled chicken x animal fry x aac grilled chicken burger
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Animal Fries,x animal fry
"1 x Salted Fries, 1 x GhostBuster Sauce, 1 x Bone in Jamaican Grilled Chicken, 1 x Angara Sauce",x salted fry x ghostbuster sauce x bone jamaican grilled chicken x angara sauce
1 x Animal Fries,x animal fry
1 x Fried Chicken Classic Tender,x fried chicken classic tender
1 x Fried Chicken Beast AAC Burger,x fried chicken beast aac burger
3 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
"1 x Bone in Angara Grilled Chicken, 1 x Fried Chicken Classic Tender",x bone angara grilled chicken x fried chicken classic tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x AAC Grilled Chicken Burger, 1 x Bone in Jamaican Grilled Chicken, 1 x Smoky BBQ Sauce",x aac grilled chicken burger x bone jamaican grilled chicken x smoky bbq sauce
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Fried Chicken Classic Tender,x fried chicken classic tender
1 x Animal Fries,x animal fry
"1 x Fried Chicken Angara Tender, 1 x GhostBuster Sauce, 1 x AAC Signature Crisper Fries, 1 x Peri Peri Fries, 1 x AAC Grilled Chicken Burger, 1 x Fried Chicken Peri Peri Tender, 1 x Harissa Mayo, 1 x Smoky BBQ Sauce, 1 x Dynamite sauce",x fried chicken angara tender x ghostbuster sauce x aac signature crisper fry x peri peri fry x aac grilled chicken burger x fried chicken peri peri tender x harissa mayo x smoky bbq sauce x dynamite sauce
"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken",x animal fry x bone jamaican grilled chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Classic Tender, 1 x Fried Chicken Peri Peri Tender",x grilled chicken jamaican tender x fried chicken classic tender x fried chicken peri peri tender
3 x AAC Grilled Chicken Burger,x aac grilled chicken burger
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Grilled Chicken Peri Peri Boneless Breast,x grilled chicken peri peri boneless breast
1 x Grilled Chicken Afghani Boneless Breast,x grilled chicken afghani boneless breast
1 x Animal Fries,x animal fry
"1 x AAC Grilled Chicken Burger, 1 x AAC Grilled Paneer Burger",x aac grilled chicken burger x aac grilled paneer burger
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Jamaican Grilled Chicken",x grilled chicken smoky bbq tender x bone jamaican grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x AAC Signature Fries, 1 x AAC Signature Crisper Fries",x bone smoky bbq grilled chicken x aac signature fry x aac signature crisper fry
"2 x Bone in Jamaican Grilled Chicken, 1 x Salted Fries",x bone jamaican grilled chicken x salted fry
"1 x Grilled Chicken Peri Peri Boneless Breast, 1 x Grilled Chicken Jamaican Boneless Breast",x grilled chicken peri peri boneless breast x grilled chicken jamaican boneless breast
"1 x Grilled Chicken Angara Tender, 1 x Animal Fries, 1 x Fried Chicken Peri Peri Tender, 1 x Fried Chicken Kabuli Tender",x grilled chicken angara tender x animal fry x fried chicken peri peri tender x fried chicken kabuli tender
1 x Animal Fries,x animal fry
"1 x Grilled Chicken Jamaican Tender, 1 x Angara Sauce, 1 x Grilled Chicken Peri Peri Tender",x grilled chicken jamaican tender x angara sauce x grilled chicken peri peri tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Fried Chicken Classic Tender, 1 x Grilled Chicken Jamaican Tender, 1 x Bone in Smoky Bbq Grilled Chicken, 1 x AAC Grilled Chicken Burger",x fried chicken classic tender x grilled chicken jamaican tender x bone smoky bbq grilled chicken x aac grilled chicken burger
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
"1 x Peri Peri Crisper Fries, 1 x AAC Signature Fries",x peri peri crisper fry x aac signature fry
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Raw Masala Lemon Shikanji, 1 x Bone in Kabuli Grilled Chicken",x raw masala lemon shikanji x bone kabuli grilled chicken
"1 x Fried Chicken Ghostbuster Tender, 1 x Grilled Chicken Peri Peri Tender",x fried chicken ghostbuster tender x grilled chicken peri peri tender
"1 x AAC Signature Fries, 1 x Grilled Chicken Smoky BBQ Tender",x aac signature fry x grilled chicken smoky bbq tender
1 x Animal Fries,x animal fry
